Rank,App ID,Last Week Rank,Peak In-Game Players
1,730,1,1312089
2,570,2,804195
3,578080,3,559798
4,431960,4,138592
5,1030300,5,140632
6,1172470,7,156680
7,2767030,9,100958
8,3354750,6,72879
9,2507950,8,206103
10,236390,12,86186
11,3405340,37,102407
12,413150,15,120970
13,1203220,10,100951
14,381210,14,76159
15,252490,20,178991
16,553850,13,61576
17,1938090,24,66009
18,1285190,11,96288
19,359550,16,59234
20,105600,28,41540
21,550,35,41182
22,271590,21,84774
23,2246340,73,110683
24,1145350,17,80623
25,3527290,23,43297
26,1973530,19,49936
27,3240220,27,67593
28,227300,33,52550
29,3405690,26,86940
30,367520,18,49217
31,1086940,34,78322
32,440,25,59476
33,1091500,31,61356
34,322330,30,63490
35,3241660,41,36736
36,322170,36,35463
37,2694490,22,85448
38,230410,40,53471
39,2357570,32,38305
40,394360,38,65273
41,1174180,46,50930
42,438100,39,54663
43,284160,43,30651
44,2073620,42,61243
45,1326470,184,57863
46,1422450,48,45271
47,2669320,44,30586
48,1222670,49,36897
49,250900,50,24123
50,1281930,61,38697
51,1984270,-1,81513
52,4000,57,31601
53,3419430,45,106685
54,1364780,51,36605
55,252950,52,25893
56,289070,53,52083
57,1551360,56,25116
58,3008130,29,39818
59,275850,55,38834
60,108600,70,36167
61,2622380,47,49652
62,1449850,54,15279
63,3314790,107,24864
64,244210,60,17767
65,1366800,58,51359
66,221100,62,65197
67,739630,67,22096
68,1245620,59,31639
69,892970,68,44370
70,261550,63,43035
71,291550,69,15244
72,2073850,65,23975
73,1665460,66,19083
74,1623730,74,45937
75,251570,78,40159
76,3224770,77,20777
77,489830,82,27773
78,1142710,80,34399
79,1144200,111,16314
80,1260320,75,29244
81,2584990,72,19622
82,646570,85,19284
83,1905180,81,26678
84,2300320,92,41754
85,594650,76,28979
86,1517290,64,17314
87,3513350,79,12476
88,813780,88,25379
89,2379780,93,12169
90,629520,89,23198
91,1426210,112,28871
92,294100,87,37305
93,1145360,99,19945
94,2183900,100,20211
95,2252570,86,55502
96,3164500,102,24866
97,2358720,91,23563
98,242760,179,17534
99,714010,84,5656
100,2139460,90,32286
